,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1540,2011.0,1,Eagles,0.0,1.0,0.0,Rams,181.0,13.0,20.0,DST,154.0,5.0,0.0,335.0,1.0,1.0
1580,2011.0,2,Eagles,0.0,1.0,0.0,Falcons,181.0,13.0,20.0,DST,154.0,5.0,0.0,335.0,1.0,1.0
1630,2011.0,3,Eagles,0.0,0.5,1.0,Giants,180.5,24.0,14.0,DST,146.0,4.5,0.0,326.5,0.5,1.0
1649,2011.0,4,Eagles,0.0,0.3333333333333333,0.6666666666666666,49ers,197.66666666666666,25.666666666666668,10.333333333333334,DST,131.33333333333334,4.0,0.0,329.0,0.3333333333333333,0.6666666666666666
1685,2011.0,5,Eagles,0.25,0.5,0.5,Bills,217.75,25.25,9.75,DST,139.5,3.75,0.0,357.25,0.25,0.5
1693,2011.0,6,Eagles,0.2,0.4,0.6,Redskins,211.8,26.4,8.4,DST,140.2,3.2,0.0,352.0,0.2,0.6
1750,2011.0,8,Eagles,0.16666666666666666,0.3333333333333333,1.1666666666666667,Cowboys,217.33333333333334,24.166666666666668,9.833333333333334,DST,123.83333333333333,3.0,0.0,341.1666666666667,0.16666666666666666,0.6666666666666666
1779,2011.0,9,Eagles,0.14285714285714285,0.2857142857142857,1.1428571428571428,Bears,212.28571428571428,21.714285714285715,10.285714285714286,DST,118.28571428571429,3.142857142857143,0.0,330.57142857142856,0.14285714285714285,0.5714285714285714
1803,2011.0,10,Eagles,0.125,0.5,1.0,Cardinals,211.75,22.75,10.25,DST,124.0,2.75,0.0,335.75,0.25,0.5
1835,2011.0,11,Eagles,0.1111111111111111,0.4444444444444444,1.1111111111111112,Giants,219.55555555555554,22.555555555555557,10.777777777777779,DST,120.0,2.888888888888889,0.0,339.55555555555554,0.3333333333333333,0.4444444444444444
1886,2011.0,12,Eagles,0.1,0.5,1.1,Patriots,222.5,21.3,11.1,DST,110.9,2.9,0.0,333.4,0.3,0.5
1912,2011.0,13,Eagles,0.09090909090909091,0.45454545454545453,1.0,Seahawks,234.36363636363637,22.818181818181817,10.181818181818182,DST,110.27272727272727,2.727272727272727,0.0,344.6363636363636,0.2727272727272727,0.45454545454545453
1922,2011.0,14,Eagles,0.08333333333333333,0.4166666666666667,0.9166666666666666,Dolphins,229.25,23.5,9.583333333333334,DST,115.58333333333333,2.75,0.0,344.8333333333333,0.25,0.5
1954,2011.0,15,Eagles,0.07692307692307693,0.5384615384615384,0.9230769230769231,Jets,218.92307692307693,22.46153846153846,10.692307692307692,DST,115.07692307692308,3.230769230769231,0.07692307692307693,334.0,0.23076923076923078,0.5384615384615384
1995,2011.0,16,Eagles,0.07142857142857142,0.6428571428571429,1.0,Cowboys,213.78571428571428,22.214285714285715,11.5,DST,113.57142857142857,3.2857142857142856,0.07142857142857142,327.35714285714283,0.2857142857142857,0.5
2026,2011.0,17,Eagles,0.06666666666666667,0.6,0.9333333333333333,Redskins,210.0,21.2,11.4,DST,111.4,3.2666666666666666,0.06666666666666667,321.4,0.26666666666666666,0.5333333333333333
