,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2582,2010.0,1,Eagles,0.0,0.0,2.0,Packers,167.0,27.0,8.0,DST,132.0,3.0,0.0,299.0,0.0,0.0
2614,2010.0,2,Eagles,0.0,0.0,2.0,Lions,167.0,27.0,8.0,DST,132.0,3.0,0.0,299.0,0.0,0.0
2626,2010.0,3,Eagles,0.0,0.0,2.0,Jaguars,248.0,29.5,7.0,DST,123.5,2.5,0.0,371.5,0.0,0.5
2677,2010.0,4,Eagles,0.0,0.0,1.6666666666666667,Redskins,182.66666666666666,20.666666666666668,11.0,DST,128.66666666666666,4.0,0.0,311.3333333333333,0.0,0.6666666666666666
2690,2010.0,5,Eagles,0.0,0.0,1.5,49ers,168.0,19.75,10.0,DST,138.75,3.25,0.0,306.75,0.0,0.5
2721,2010.0,6,Eagles,0.0,0.6,1.6,Falcons,192.4,20.6,11.8,DST,125.8,3.0,0.0,318.2,0.2,0.6
2753,2010.0,7,Eagles,0.0,0.6666666666666666,1.5,Titans,198.33333333333334,20.0,11.666666666666666,DST,115.66666666666667,3.0,0.0,314.0,0.16666666666666666,0.5
2804,2010.0,9,Eagles,0.0,0.7142857142857143,1.5714285714285714,Colts,206.14285714285714,22.428571428571427,11.285714285714286,DST,109.85714285714286,3.0,0.0,316.0,0.14285714285714285,0.5714285714285714
2824,2010.0,10,Eagles,0.0,0.625,1.625,Redskins,214.875,22.625,10.875,DST,103.875,3.0,0.0,318.75,0.125,0.5
2857,2010.0,11,Eagles,0.0,0.5555555555555556,1.7777777777777777,Giants,221.0,23.22222222222222,11.222222222222221,DST,104.0,2.888888888888889,0.0,325.0,0.2222222222222222,0.5555555555555556
2907,2010.0,12,Eagles,0.0,0.7,1.9,Bears,213.6,22.6,11.5,DST,99.7,2.6,0.0,313.3,0.2,0.5
2933,2010.0,13,Eagles,0.0,0.6363636363636364,1.7272727272727273,Texans,214.0,23.363636363636363,10.818181818181818,DST,102.54545454545455,2.727272727272727,0.0,316.54545454545456,0.18181818181818182,0.5454545454545454
2967,2010.0,14,Eagles,0.0,0.6666666666666666,1.6666666666666667,Cowboys,223.08333333333334,23.416666666666668,10.5,DST,103.0,2.6666666666666665,0.0,326.0833333333333,0.16666666666666666,0.5
2985,2010.0,15,Eagles,0.0,0.6153846153846154,1.6923076923076923,Giants,224.30769230769232,23.692307692307693,10.153846153846153,DST,103.53846153846153,2.5384615384615383,0.0,327.84615384615387,0.15384615384615385,0.5384615384615384
3028,2010.0,16,Eagles,0.0,0.6428571428571429,1.6428571428571428,Min,227.14285714285714,24.214285714285715,10.285714285714286,DST,103.28571428571429,2.5,0.0,330.42857142857144,0.21428571428571427,0.5714285714285714
3060,2010.0,17,Eagles,0.0,0.6666666666666666,1.5333333333333334,Cowboys,223.73333333333332,24.2,9.933333333333334,DST,107.13333333333334,2.466666666666667,0.0,330.8666666666667,0.2,0.5333333333333333
