,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1742,2010.0,1,Micheal Spurlock,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,1.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0
1915,2010.0,2,Micheal Spurlock,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,1.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0
2011,2010.0,3,Micheal Spurlock,0.0,0.0,Steelers,0.0,0.5,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.5,24.5,1.0,0.0,0.0,0.0,0.0,0.5
2175,2010.0,5,Micheal Spurlock,0.0,0.0,Bengals,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.6666666666666665,WR,0.0,0.3333333333333333,19.666666666666668,1.0,0.0,0.0,0.0,0.0,0.3333333333333333
2254,2010.0,6,Micheal Spurlock,0.0,0.25,Saints,0.0,0.25,0.0,0.0,0.0,0.0,3.25,WR,0.0,0.25,23.5,1.5,0.0,0.0,0.0,0.0,0.5
2388,2010.0,7,Micheal Spurlock,0.0,0.2,Rams,0.0,0.2,0.0,0.0,0.0,0.0,3.8,WR,0.0,0.4,18.8,1.6,0.0,0.0,0.0,0.0,0.4
2431,2010.0,8,Micheal Spurlock,0.0,0.16666666666666666,Cardinals,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,3.1666666666666665,WR,0.0,0.3333333333333333,16.5,1.5,0.0,0.0,0.0,0.0,0.3333333333333333
2528,2010.0,9,Micheal Spurlock,0.0,0.14285714285714285,Falcons,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,3.5714285714285716,WR,0.0,0.2857142857142857,22.714285714285715,1.7142857142857142,0.0,0.0,0.0,0.0,0.42857142857142855
2765,2010.0,11,Micheal Spurlock,0.0,0.125,49ers,0.0,0.125,0.0,0.0,0.0,0.0,3.625,WR,0.0,0.25,25.625,1.75,0.0,0.0,0.0,0.0,0.5
2874,2010.0,12,Micheal Spurlock,0.0,0.1111111111111111,Ravens,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,3.2222222222222223,WR,0.0,0.2222222222222222,22.77777777777778,1.5555555555555556,0.0,0.0,0.0,0.0,0.5555555555555556
3176,2010.0,15,Micheal Spurlock,0.0,0.1,Lions,0.0,0.2,0.0,0.0,0.0,0.0,2.9,WR,0.0,0.2,21.1,1.5,0.0,0.0,0.0,0.0,0.6
3267,2010.0,16,Micheal Spurlock,0.0,0.09090909090909091,Seahawks,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,2.727272727272727,WR,0.0,0.18181818181818182,20.90909090909091,1.4545454545454546,0.0,0.0,0.0,0.0,0.5454545454545454
3406,2010.0,17,Micheal Spurlock,0.0,0.08333333333333333,Saints,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,2.6666666666666665,WR,0.0,0.16666666666666666,20.833333333333332,1.4166666666666667,0.0,0.0,0.0,0.0,0.5
