,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,4,Marion Barber,0,0,Panthers,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,5,1,17,0,Panthers,0,0,1,Bears,93,34,3.0,DST,224,1.0,0,317,0,1
1,2011,5,Marion Barber,0,0,Lions,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,1,0,3,1,Lions,0,0,0,Bears,237,13,10.0,DST,122,3.0,0,359,0,0
2,2011,7,Marion Barber,0,0,Buccaneers,0,0,0,0,0,0,9.0,RB,0,0,0,0,0,6,1,39,1,Buccaneers,0,0,2,Bears,218,24,9.0,DST,177,2.0,1,395,0,0
3,2011,9,Marion Barber,0,0,Eagles,0,0,0,0,0,0,9.0,RB,0,0,8,1,0,9,1,31,1,Eagles,0,2,0,Bears,208,30,10.0,DST,164,0.0,0,372,1,0
4,2011,10,Marion Barber,0,0,Lions,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,13,0,27,0,Lions,0,1,0,Bears,107,37,4.0,DST,109,2.0,0,216,0,1
5,2011,11,Marion Barber,0,0,Chargers,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,7,1,25,0,Chargers,0,0,1,Bears,286,31,2.0,DST,92,0.0,0,378,0,1
6,2011,12,Marion Barber,0,0,Raiders,0,0,0,0,0,0,6.0,RB,0,0,0,0,0,10,0,63,1,Raiders,0,0,3,Bears,229,20,14.0,DST,172,4.0,0,401,0,0
7,2011,13,Marion Barber,0,0,Chiefs,0,0,0,0,0,0,4.0,RB,0,0,0,0,0,14,0,44,0,Chiefs,0,0,3,Bears,88,3,23.0,DST,93,7.0,0,181,0,1
8,2011,14,Marion Barber,0,1,Broncos,0,0,0,0,0,0,18.0,RB,0,0,32,2,0,27,1,108,1,Broncos,0,1,0,Bears,86,10,13.0,DST,159,4.0,0,245,0,0
9,2011,15,Marion Barber,0,0,Seahawks,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,11,0,33,0,Seahawks,0,1,4,Bears,89,14,30.0,DST,132,4.0,0,221,2,1
10,2010,1,Marion Barber,0,0,Redskins,0,1,0,0,0,0,3.0,RB,0,0,1,2,0,8,0,39,1,Redskins,0,1,0,Cowboys,277,7,16.0,DST,103,1.0,0,380,1,0
11,2010,2,Marion Barber,0,0,Bears,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,11,0,31,0,Bears,0,1,2,Cowboys,374,20,10.0,DST,36,0.0,0,410,0,1
12,2010,3,Marion Barber,0,0,Texans,0,0,0,0,0,0,11.0,RB,0,0,5,1,0,17,1,55,1,Texans,0,0,0,Cowboys,284,27,1.0,DST,101,0.0,0,385,0,0
13,2010,5,Marion Barber,0,0,Titans,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,6,0,19,0,Titans,0,0,3,Cowboys,370,27,13.0,DST,141,6.0,0,511,0,1
14,2010,7,Marion Barber,0,0,Giants,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,4,0,6,0,Giants,0,2,0,Cowboys,213,35,7.0,DST,41,3.0,0,254,0,1
15,2010,8,Marion Barber,0,0,Jaguars,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,9,1,16,0,Jaguars,0,0,4,Cowboys,365,17,14.0,DST,50,2.0,0,415,0,1
16,2010,9,Marion Barber,0,0,Packers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,6,0,14,1,Packers,0,2,2,Cowboys,166,7,31.0,DST,39,4.0,0,205,2,0
17,2010,10,Marion Barber,0,0,Giants,0,0,0,0,0,0,4.0,RB,0,0,-2,1,0,8,0,47,1,Giants,1,0,1,Cowboys,327,33,4.0,DST,100,0.0,0,427,0,0
18,2010,11,Marion Barber,0,0,Lions,0,0,0,0,0,0,4.0,RB,0,0,15,1,0,13,0,36,0,Lions,0,1,0,Cowboys,131,35,6.0,DST,134,2.0,1,265,0,1
19,2010,12,Marion Barber,0,0,Saints,0,0,0,0,0,0,7.0,RB,0,0,8,2,0,10,1,19,0,Saints,0,2,1,Cowboys,313,27,8.0,DST,144,1.0,0,457,0,1
20,2010,16,Marion Barber,0,0,Cardinals,0,0,0,0,0,0,11.0,RB,0,0,0,0,0,8,1,58,1,Cardinals,0,1,2,Cowboys,199,26,24.0,DST,183,5.0,0,382,2,0
21,2010,17,Marion Barber,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,3,1,Eagles,0,1,0,Cowboys,113,14,8.0,DST,159,2.0,0,272,0,0
