,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,29,29,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,6.0,WR,0,0,67,5,0,0,0,0,1,2017,16,16,1,0,1,Chargers,185,21,6.0,DST,64,1.0,0,Broncos,249,0
1,125,125,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,7.0,WR,0,0,71,6,0,0,0,0,2,2017,33,33,0,0,2,Cowboys,228,17,16.0,DST,40,2.0,0,Broncos,268,1
2,250,250,0,0,Demaryius Thomas,Bills,0,0,0,0,0,0,9.0,WR,0,0,98,6,0,0,0,0,3,2017,72,72,0,0,2,Broncos,255,16,11.0,DST,111,3.0,0,Bills,366,0
3,426,426,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,4,2017,102,102,0,0,1,Raiders,230,10,12.0,DST,24,3.0,0,Broncos,254,0
4,566,566,0,1,Demaryius Thomas,Broncos,0,0,0,0,0,0,12.0,WR,0,0,133,10,0,0,0,0,6,2017,174,174,1,0,0,Giants,118,23,6.0,DST,148,3.0,0,Broncos,266,0
5,761,761,0,0,Demaryius Thomas,Chargers,0,0,0,0,0,0,0.0,WR,0,0,9,2,0,0,0,0,7,2017,183,183,0,2,1,Broncos,182,0,27.0,DST,69,5.0,0,Chargers,251,1
6,799,799,0,0,Demaryius Thomas,Chiefs,0,0,0,0,0,0,6.0,WR,0,0,66,5,0,0,0,0,8,2017,213,213,0,2,3,Broncos,187,19,23.0,DST,177,3.0,0,Chiefs,364,1
7,872,872,0,0,Demaryius Thomas,Eagles,0,0,0,0,0,0,13.0,WR,0,1,70,8,0,0,0,0,9,2017,253,253,0,0,2,Broncos,191,23,8.0,DST,35,3.0,0,Eagles,226,0
8,982,982,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,10.0,WR,0,1,44,5,0,0,0,0,10,2017,290,290,0,0,0,Patriots,297,41,1.0,DST,99,1.0,0,Broncos,396,0
9,1078,1078,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,12.0,WR,0,1,64,5,0,0,0,0,11,2017,306,306,1,0,0,Bengals,141,20,8.0,DST,49,2.0,0,Broncos,190,0
10,1255,1255,0,0,Demaryius Thomas,Raiders,0,0,0,0,0,0,1.0,WR,0,0,18,5,0,0,0,0,12,2017,332,332,0,0,1,Broncos,160,14,11.0,DST,56,5.0,0,Raiders,216,0
11,1351,1351,0,0,Demaryius Thomas,Dolphins,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,13,2017,352,352,1,0,3,Broncos,167,9,28.0,DST,103,3.0,2,Dolphins,270,1
