,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,29,29.0,0.0,0.0,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,67.0,5.0,0.0,0.0,0.0,0.0,1,2017.0,16,16.0,1.0,0.0,1.0,Chargers,185.0,21.0,6.0,DST,64.0,1.0,0.0,Broncos,249.0,0.0
1,125,29.0,0.0,0.0,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,67.0,5.0,0.0,0.0,0.0,0.0,2,2017.0,33,16.0,1.0,0.0,1.0,Cowboys,185.0,21.0,6.0,DST,64.0,1.0,0.0,Broncos,249.0,0.0
2,250,77.0,0.0,0.0,Demaryius Thomas,Bills,0.0,0.0,0.0,0.0,0.0,0.0,6.5,WR,0.0,0.0,69.0,5.5,0.0,0.0,0.0,0.0,3,2017.0,72,22.5,0.0,0.0,1.0,Broncos,177.0,10.5,12.5,DST,57.5,3.5,0.0,Bills,234.5,0.0
3,426,134.66666666666666,0.0,0.0,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333332,WR,0.0,0.0,78.66666666666667,5.666666666666668,0.0,0.0,0.0,0.0,4,2017.0,102,44.33333333333334,0.3333333333333333,0.0,1.0,Raiders,203.33333333333331,21.33333333333333,9.0,DST,59.66666666666666,2.333333333333333,0.0,Broncos,263.0,0.3333333333333333
4,566,207.5,0.0,0.0,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,5.75,WR,0.0,0.0,61.75,4.5,0.0,0.0,0.0,0.0,6,2017.0,174,58.75,0.25,0.0,1.0,Giants,210.0,18.5,9.75,DST,50.75,2.5,0.0,Broncos,260.75,0.25
5,761,279.2,0.0,0.2,Demaryius Thomas,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.0,76.0,5.6,0.0,0.0,0.0,0.0,7,2017.0,183,95.0,0.0,0.3333333333333333,0.6666666666666666,Broncos,186.0,21.83333333333333,7.0,DST,152.5,3.0,0.0,Chargers,338.5,0.0
6,799,359.5,0.0,0.16666666666666666,Demaryius Thomas,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333332,WR,0.0,0.0,64.83333333333333,5.0,0.0,0.0,0.0,0.0,8,2017.0,213,105.85714285714286,0.14285714285714285,0.42857142857142855,0.7142857142857143,Broncos,271.7142857142857,23.0,9.285714285714286,DST,124.57142857142857,2.142857142857143,0.0,Chiefs,396.28571428571433,0.2857142857142857
7,872,422.28571428571433,0.0,0.14285714285714285,Demaryius Thomas,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142858,WR,0.0,0.0,65.0,5.0,0.0,0.0,0.0,0.0,9,2017.0,253,121.125,0.25,0.625,1.125,Broncos,256.75,19.5,11.125,DST,70.375,2.75,0.0,Eagles,327.125,0.25
8,982,478.5,0.0,0.125,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,6.75,WR,0.0,0.125,65.625,5.375,0.0,0.0,0.0,0.0,10,2017.0,290,135.875,0.25,0.25,0.625,Patriots,192.375,24.75,8.0,DST,88.375,2.375,0.0,Broncos,280.75,0.25
9,1078,534.4444444444445,0.0,0.1111111111111111,Demaryius Thomas,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,7.111111111111112,WR,0.0,0.2222222222222222,63.22222222222222,5.333333333333333,0.0,0.0,0.0,0.0,11,2017.0,306,153.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,Bengals,204.0,26.555555555555557,7.222222222222222,DST,89.55555555555556,2.2222222222222223,0.0,Broncos,293.5555555555556,0.2222222222222222
10,1255,588.8,0.0,0.1,Demaryius Thomas,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,7.6,WR,0.0,0.3,63.3,5.3,0.0,0.0,0.0,0.0,12,2017.0,332,159.8,0.0,0.6,0.0,Broncos,253.3,24.7,4.4,DST,113.8,1.4,0.0,Raiders,367.1,0.0
11,1351,649.3636363636364,0.0,0.09090909090909093,Demaryius Thomas,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.2727272727272727,59.18181818181818,5.2727272727272725,0.0,0.0,0.0,0.0,13,2017.0,352,196.8181818181818,0.09090909090909093,0.5454545454545454,0.3636363636363637,Broncos,228.54545454545453,26.272727272727273,6.909090909090909,DST,117.72727272727272,1.6363636363636365,0.0,Dolphins,346.27272727272725,0.18181818181818185
