,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,56,56,0,0,Davante Adams,Packers,0,0,0,0,0,0,4.0,WR,0,0,47,3,0,0,0,0,1,2017,9,9,0,1,0,Steelers,135,9,12.0,DST,90,3.0,0,Packers,225,0
1,109,109,0,0,Davante Adams,Falcons,0,0,0,0,0,0,15.0,WR,0,1,99,8,0,0,0,0,2,2017,34,34,0,1,1,Packers,308,23,14.0,DST,59,3.0,0,Falcons,367,1
2,273,273,0,0,Davante Adams,Packers,0,0,0,0,0,0,6.0,WR,0,0,60,3,0,0,0,0,3,2017,78,78,0,1,0,Bengals,191,24,6.0,DST,110,3.0,0,Packers,301,0
3,376,376,0,0,Davante Adams,Packers,0,0,0,0,0,0,7.0,WR,0,1,13,2,0,0,0,0,4,2017,101,101,0,2,2,Bears,205,14,13.0,DST,103,1.0,0,Packers,308,0
4,458,458,0,0,Davante Adams,Cowboys,0,0,0,0,0,0,18.0,WR,0,2,66,7,0,0,0,0,5,2017,145,145,0,1,0,Packers,182,35,6.0,DST,160,4.0,0,Cowboys,342,0
5,577,577,0,0,Davante Adams,Vikings,0,0,0,0,0,0,11.0,WR,0,1,54,5,0,0,0,0,6,2017,160,160,0,0,3,Packers,155,10,17.0,DST,72,4.0,0,Vikings,227,0
6,758,758,0,0,Davante Adams,Packers,0,0,0,0,0,0,1.0,WR,0,0,12,2,0,0,0,0,7,2017,195,195,1,0,2,Saints,324,26,8.0,DST,161,1.0,0,Packers,485,0
7,904,904,0,0,Davante Adams,Packers,0,0,0,0,0,0,5.0,WR,0,0,53,7,0,0,0,0,9,2017,260,260,0,1,0,Lions,353,30,3.0,DST,64,1.0,0,Packers,417,0
8,969,969,0,0,Davante Adams,Bears,0,0,0,0,0,0,15.0,WR,0,1,90,5,0,0,0,0,10,2017,282,282,0,0,0,Packers,182,23,4.0,DST,160,3.0,0,Bears,342,0
9,1080,1080,0,0,Davante Adams,Packers,0,0,0,0,0,0,12.0,WR,0,0,126,8,0,0,0,0,11,2017,309,309,0,0,1,Ravens,161,23,6.0,DST,58,3.0,0,Packers,219,0
10,1185,1185,0,0,Davante Adams,Steelers,0,0,0,0,0,0,14.0,WR,0,1,82,5,0,0,0,0,12,2017,329,329,0,0,1,49ers,196,13,12.0,DST,84,3.0,0,Steelers,280,0
11,1185,1185,0,0,Davante Adams,Steelers,0,0,0,0,0,0,14.0,WR,0,1,82,5,0,0,0,0,12,2017,345,345,0,0,0,Packers,227,28,4.0,DST,80,4.0,0,Steelers,307,0
12,1337,1337,0,0,Davante Adams,Packers,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,13,2017,356,356,0,1,0,Buccaneers,230,20,19.0,DST,165,7.0,0,Packers,395,1
