,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,52,52,0,0,Seth Devalve,Browns,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,1,2017,23,23,0,0,1,Steelers,255,21,4.0,DST,35,1.0,0,Browns,290,0
1,142,142,0,0,Seth Devalve,Ravens,0,0,0,0,0,0,6.0,WR,0,0,61,2,0,0,0,0,2,2017,31,31,0,1,4,Browns,293,10,20.0,DST,93,3.0,0,Ravens,386,0
2,299,299,0,0,Seth Devalve,Colts,0,0,0,0,0,0,2.0,WR,0,0,29,2,0,0,0,0,3,2017,76,76,0,0,3,Browns,235,28,7.0,DST,111,1.0,0,Colts,346,0
3,451,451,0,0,Seth Devalve,Browns,0,0,0,0,0,0,0.0,WR,0,0,2,1,0,0,0,0,4,2017,113,113,0,1,0,Bengals,264,31,5.0,DST,86,3.0,0,Browns,350,0
4,522,522,0,0,Seth Devalve,Browns,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,5,2017,141,141,0,0,1,Jets,178,17,9.0,DST,34,3.0,0,Browns,212,0
5,598,598,0,0,Seth Devalve,Texans,0,0,0,0,0,0,6.0,WR,0,1,9,2,0,0,0,0,6,2017,157,157,0,0,3,Browns,113,17,22.0,DST,134,4.0,1,Texans,247,1
6,735,735,0,0,Seth Devalve,Browns,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,7,2017,189,189,0,1,0,Titans,189,12,11.0,DST,80,2.0,0,Browns,269,0
7,858,858,0,0,Seth Devalve,Browns,0,0,0,0,0,0,0.0,WR,0,0,0,1,0,0,0,0,8,2017,230,230,1,0,1,Vikings,287,33,5.0,DST,88,1.0,0,Browns,375,0
8,1000,1000,0,1,Seth Devalve,Lions,0,0,0,0,0,0,6.0,WR,0,0,70,4,0,0,0,0,10,2017,268,268,0,1,1,Browns,212,24,15.0,DST,201,4.0,0,Lions,413,1
9,1165,1165,0,0,Seth Devalve,Browns,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,11,2017,305,305,0,1,0,Jaguars,145,19,8.0,DST,139,2.0,0,Browns,284,0
10,1238,1238,0,0,Seth Devalve,Bengals,0,0,0,0,0,0,3.0,WR,0,0,33,2,0,0,0,0,12,2017,334,334,0,0,0,Browns,236,16,8.0,DST,169,4.0,0,Bengals,405,0
11,1345,1345,0,0,Seth Devalve,Chargers,0,0,0,0,0,0,3.0,WR,0,0,33,2,0,0,0,0,13,2017,361,361,0,1,1,Browns,202,10,14.0,DST,89,3.0,0,Chargers,291,0
