,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
16,2011,1,Dez Bryant,0,0,Jets,0,0,0,0,0,0,13.0,WR,0,1,71,3,0,0,0,0,1
256,2011,3,Dez Bryant,0,0,Redskins,0,0,0,0,0,0,6.0,WR,0,0,63,4,0,0,0,0,0
329,2011,4,Dez Bryant,0,0,Lions,0,0,0,0,0,0,15.0,WR,0,2,37,3,0,1,0,5,0
547,2011,6,Dez Bryant,0,0,Patriots,0,0,0,0,0,0,7.0,WR,0,0,78,4,0,0,0,0,1
609,2011,7,Dez Bryant,0,0,Rams,0,0,0,0,0,0,15.0,WR,0,1,90,5,0,0,0,0,0
756,2011,8,Dez Bryant,0,0,Eagles,0,0,0,0,0,0,2.0,WR,0,0,28,3,0,0,0,0,1
814,2011,9,Dez Bryant,0,1,Seahawks,0,0,0,0,0,0,6.0,WR,0,0,76,4,0,0,0,0,0
876,2011,10,Dez Bryant,0,0,Bills,0,0,0,0,0,0,13.0,WR,0,1,74,6,0,0,0,0,0
989,2011,11,Dez Bryant,0,0,Redskins,0,0,0,0,0,0,12.0,WR,0,1,68,3,0,0,0,0,1
1128,2011,12,Dez Bryant,0,0,Dolphins,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,0
1185,2011,13,Dez Bryant,0,0,Cardinals,0,0,0,0,0,0,14.0,WR,0,1,86,8,0,0,0,0,1
1308,2011,14,Dez Bryant,0,0,Giants,0,0,0,0,0,0,11.0,WR,0,1,50,1,0,0,0,0,0
1412,2011,15,Dez Bryant,0,0,Buccaneers,0,0,0,0,0,0,10.0,WR,0,1,40,4,0,0,0,0,1
1547,2011,16,Dez Bryant,0,0,Eagles,0,0,0,0,0,0,6.0,WR,0,0,62,6,0,0,0,0,0
1658,2011,17,Dez Bryant,0,0,Giants,0,0,0,0,0,0,7.0,WR,0,0,70,6,0,0,0,0,1
