,Unnamed: 0.1_x,Unnamed: 0.1.1_x,Fumble TD,Fumbles Lost,Name,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,2,2.0,0.0,0.0,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TE,0.0,1.0,59.0,7.0,0.0,0.0,0.0,0.0,1,2017.0,7,7.0,0.0,0.0,1.0,Giants,198.0,3.0,15.0,DST,35.0,3.0,0.0,Cowboys,233.0,0.0
1,46,2.0,0.0,0.0,Jason Witten,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TE,0.0,1.0,59.0,7.0,0.0,0.0,0.0,0.0,2,2017.0,33,16.0,1.0,0.0,1.0,Cowboys,185.0,21.0,6.0,DST,64.0,1.0,0.0,Broncos,249.0,0.0
2,134,24.0,0.0,0.0,Jason Witten,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,13.0,TE,0.0,1.0,78.0,8.5,0.0,0.0,0.0,0.0,3,2017.0,89,24.0,0.0,0.0,1.0,Cowboys,237.5,24.0,11.0,DST,79.0,2.5,0.0,Cardinals,316.5,0.5
3,200,60.66666666666666,0.0,0.0,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,TE,0.0,0.6666666666666666,53.0,6.0,0.0,0.0,0.0,0.0,4,2017.0,124,43.0,0.0,0.3333333333333333,0.6666666666666666,Rams,227.66666666666663,20.666666666666668,10.333333333333334,DST,87.33333333333331,3.6666666666666665,0.0,Cowboys,315.0,0.0
4,220,95.5,0.0,0.0,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,6.5,TE,0.0,0.5,42.0,4.75,0.0,0.0,0.0,0.0,5,2017.0,145,63.25,0.0,0.25,0.5,Packers,231.75,24.25,8.0,DST,107.5,3.0,0.0,Cowboys,339.25,0.0
5,303,120.4,0.0,0.2,Jason Witten,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.2,TE,0.0,0.4,45.8,5.4,0.0,0.0,0.0,0.0,7,2017.0,211,96.33333333333331,0.0,0.6666666666666666,0.6666666666666666,Cowboys,262.3333333333333,24.33333333333333,7.333333333333332,DST,112.83333333333331,2.333333333333333,0.0,49ers,375.16666666666674,0.0
6,368,150.83333333333334,0.0,0.16666666666666666,Jason Witten,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,7.0,TE,0.0,0.5,47.16666666666666,5.166666666666667,0.0,0.0,0.0,0.0,8,2017.0,235,103.0,0.0,0.5,1.0,Cowboys,230.66666666666663,24.5,9.0,DST,94.5,3.0,0.0,Redskins,325.1666666666667,0.16666666666666666
7,435,181.85714285714286,0.0,0.14285714285714285,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,TE,0.0,0.42857142857142855,44.85714285714285,4.857142857142857,0.0,0.0,0.0,0.0,9,2017.0,251,114.0,0.14285714285714285,1.0,0.42857142857142855,Chiefs,218.85714285714286,23.0,11.142857142857142,DST,106.0,3.571428571428572,0.0,Cowboys,324.85714285714283,0.14285714285714285
8,461,213.5,0.0,0.125,Jason Witten,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,5.625,TE,0.0,0.375,39.875,4.375,0.0,0.0,0.0,0.0,10,2017.0,264,137.75,0.0,0.5,0.25,Cowboys,207.25,21.5,7.0,DST,114.5,2.25,0.0,Falcons,321.75,0.125
9,521,241.0,0.0,0.1111111111111111,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,5.5555555555555545,TE,0.0,0.3333333333333333,42.0,4.666666666666667,0.0,0.0,0.0,0.0,11,2017.0,319,148.0,0.1111111111111111,0.7777777777777778,0.5555555555555556,Eagles,221.22222222222226,22.777777777777782,10.0,DST,104.66666666666669,3.111111111111111,0.0,Cowboys,325.8888888888889,0.1111111111111111
10,552,269.0,0.0,0.1,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TE,0.0,0.3,38.5,4.3,0.0,0.0,0.0,0.0,12,2017.0,351,165.1,0.1,0.7,0.5,Chargers,215.9,24.2,9.0,DST,115.7,2.8,0.0,Cowboys,331.6,0.1
11,599,294.72727272727275,0.0,0.09090909090909093,Jason Witten,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.909090909090909,TE,0.0,0.2727272727272727,39.0,4.545454545454546,0.0,0.0,0.0,0.0,13,2017.0,354,182.0,0.09090909090909093,0.6363636363636364,0.4545454545454545,Redskins,235.72727272727272,24.54545454545455,8.181818181818182,DST,112.54545454545456,2.5454545454545454,0.0,Cowboys,348.27272727272725,0.09090909090909093
