,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,2,Mike Tolbert,0,1,Patriots,0,0,0,0,0,0,7.0,RB,0,0,73,8,0,9,0,10,1,Patriots,0,2,2,Chargers,372,21,11.0,DST,98,2.0,0,470,0,0
1,2011,3,Mike Tolbert,0,0,Chiefs,0,0,0,0,0,0,3.0,RB,0,0,24,3,0,4,0,19,0,Chiefs,0,0,2,Chargers,258,20,10.0,DST,117,2.0,0,375,0,1
2,2011,4,Mike Tolbert,0,0,Dolphins,0,0,0,0,0,0,12.0,RB,0,0,51,5,0,6,1,17,0,Dolphins,0,0,0,Chargers,295,26,3.0,DST,116,2.0,0,411,0,1
3,2011,5,Mike Tolbert,0,0,Broncos,0,0,0,0,0,0,4.0,RB,0,0,25,3,0,5,0,24,1,Broncos,0,1,1,Chargers,212,29,15.0,DST,206,5.0,0,418,1,0
4,2011,7,Mike Tolbert,0,0,Jets,0,0,0,0,0,0,11.0,RB,0,0,0,0,0,11,1,58,1,Jets,0,0,2,Chargers,172,21,6.0,DST,96,1.0,0,268,0,0
5,2011,9,Mike Tolbert,0,0,Packers,0,0,0,0,0,0,19.0,RB,0,0,59,4,0,19,1,83,0,Packers,0,0,3,Chargers,375,38,20.0,DST,85,2.0,0,460,2,1
6,2011,10,Mike Tolbert,0,0,Raiders,0,0,0,0,0,0,6.0,RB,0,0,37,5,0,7,0,36,0,Raiders,0,1,1,Chargers,239,17,14.0,DST,75,6.0,0,314,0,1
7,2011,11,Mike Tolbert,0,0,Bears,0,0,0,0,0,0,3.0,RB,0,0,24,5,0,3,0,14,1,Bears,0,1,2,Chargers,280,20,10.0,DST,52,0.0,0,332,0,0
8,2011,12,Mike Tolbert,0,0,Broncos,0,0,0,0,0,0,5.0,RB,0,0,19,3,0,11,0,44,0,Broncos,0,0,0,Chargers,159,13,10.0,DST,185,3.0,0,344,0,1
9,2011,13,Mike Tolbert,0,0,Jaguars,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,6,1,24,1,Jaguars,0,0,0,Chargers,294,38,0.0,DST,139,0.0,0,433,0,0
10,2011,14,Mike Tolbert,0,0,Bills,0,0,0,0,0,0,8.0,RB,0,0,0,0,0,6,1,21,0,Bills,1,1,0,Chargers,216,37,12.0,DST,150,2.0,0,366,1,1
11,2011,15,Mike Tolbert,0,0,Ravens,0,0,0,0,0,0,11.0,RB,0,0,18,2,0,8,1,40,0,Ravens,0,0,0,Chargers,270,34,0.0,DST,145,0.0,0,415,0,1
12,2011,16,Mike Tolbert,0,0,Lions,0,0,0,0,0,0,3.0,RB,0,0,32,6,0,5,0,7,1,Lions,0,0,2,Chargers,299,10,17.0,DST,68,0.0,0,367,1,0
13,2011,17,Mike Tolbert,0,0,Raiders,0,0,0,0,0,0,12.0,RB,0,0,13,1,0,9,1,58,1,Raiders,0,0,1,Chargers,310,38,2.0,DST,153,0.0,0,463,0,0
