,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2014,1,Donte Moncrief,0,0,Broncos,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1,Broncos,0,0,2,Colts,354,24,8.0,DST,54,3.0,0,408,0,0
1,2014,2,Donte Moncrief,0,0,Eagles,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,0,Eagles,0,1,1,Colts,172,27,5.0,DST,169,0.0,0,341,0,1
2,2014,3,Donte Moncrief,0,0,Jaguars,0,0,0,0,0,0,5.0,WR,0,0,55,4,0,1,0,7,1,Jaguars,0,0,0,Colts,385,44,2.0,DST,144,2.0,0,529,0,0
3,2014,4,Donte Moncrief,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,0,0,0,0,Titans,0,0,1,Colts,393,41,2.0,DST,105,0.0,0,498,0,1
4,2014,7,Donte Moncrief,0,0,Bengals,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,1,0,0,0,Bengals,0,2,0,Colts,335,27,7.0,DST,171,2.0,0,506,0,1
5,2014,8,Donte Moncrief,0,0,Steelers,0,0,0,0,0,0,17.0,WR,0,1,113,7,0,0,0,0,1,Steelers,0,0,2,Colts,385,34,14.0,DST,63,2.0,1,448,1,0
6,2014,9,Donte Moncrief,0,0,Giants,0,0,0,0,0,0,0.0,WR,0,0,2,1,0,0,0,0,1,Giants,0,0,0,Colts,345,40,1.0,DST,98,1.0,0,443,0,0
7,2014,12,Donte Moncrief,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,38,4,0,1,0,4,0,Jaguars,0,3,0,Colts,214,23,12.0,DST,175,5.0,0,389,0,1
8,2014,13,Donte Moncrief,0,0,Redskins,0,0,0,0,0,0,25.0,WR,0,2,134,3,0,1,0,6,0,Redskins,0,2,1,Colts,361,49,7.0,DST,126,1.0,0,487,0,1
9,2014,14,Donte Moncrief,0,0,Browns,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,1,Browns,0,2,2,Colts,269,25,24.0,DST,93,3.0,0,362,2,0
10,2014,16,Donte Moncrief,0,0,Cowboys,0,0,0,0,0,0,0.0,WR,0,0,5,2,0,0,0,0,1,Cowboys,0,1,2,Colts,228,7,15.0,DST,1,2.0,0,229,0,0
11,2014,17,Donte Moncrief,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,16,3,0,0,0,0,1,Titans,0,0,0,Colts,314,27,2.0,DST,64,1.0,0,378,0,0
