,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2461,2015,1,Richard Rodgers,0,0,Bears,0,0,0,0,0,0,3.0,TE,0,0,27,3,0,1,0,11,1
2488,2015,2,Richard Rodgers,0,0,Seahawks,0,0,0,0,0,0,10.0,TE,1,1,23,3,0,0,0,0,0
2566,2015,3,Richard Rodgers,0,0,Chiefs,0,0,0,0,0,0,1.0,TE,0,0,15,2,0,0,0,0,0
2588,2015,4,Richard Rodgers,0,0,49ers,0,0,0,0,0,0,10.0,TE,0,1,45,5,0,0,0,0,1
2641,2015,5,Richard Rodgers,0,0,Rams,0,0,0,0,0,0,4.0,TE,0,0,45,6,0,0,0,0,0
2689,2015,6,Richard Rodgers,0,0,Chargers,0,0,0,0,0,0,3.0,TE,0,0,34,2,0,0,0,0,0
2793,2015,8,Richard Rodgers,0,0,Broncos,0,0,0,0,0,0,1.0,TE,0,0,16,2,0,0,0,0,1
2817,2015,9,Richard Rodgers,0,0,Panthers,0,0,0,0,0,0,13.0,TE,0,2,19,5,0,0,0,0,1
2869,2015,10,Richard Rodgers,0,0,Lions,0,0,0,0,0,0,9.0,TE,0,1,32,5,0,0,0,0,0
2951,2015,11,Richard Rodgers,0,0,Min,0,0,0,0,0,0,0.0,TE,0,0,7,3,0,0,0,0,1
2989,2015,12,Richard Rodgers,0,0,Bears,0,0,0,0,0,0,3.0,TE,0,0,30,4,0,0,0,0,0
3024,2015,13,Richard Rodgers,0,0,Lions,0,0,0,0,0,0,20.0,TE,0,1,146,8,0,0,0,0,1
3098,2015,14,Richard Rodgers,0,0,Cowboys,0,0,0,0,0,0,6.0,TE,0,1,3,1,0,0,0,0,0
3180,2015,15,Richard Rodgers,0,0,Raiders,0,0,0,0,0,0,0.0,TE,0,0,7,1,0,0,0,0,1
3236,2015,16,Richard Rodgers,0,0,Cardinals,0,0,0,0,0,0,0.0,TE,0,0,2,1,0,0,0,0,1
3251,2015,17,Richard Rodgers,0,0,Min,0,0,0,0,0,0,11.0,TE,0,1,59,7,0,0,0,0,0
